                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.194,                 3.1375,                 1.5085,                0.00222,                 0.5199,                0.07689,                0.03911,                  1.429,                 3.8907,                 1.9361,             0.00034296,             0.00034296,             0.00034296
                      2,                 1.2169,                 2.6548,                 1.5248,                0.00321,                0.71945,                0.10445,                0.04445,                  1.758,                 3.7696,                  2.134,             0.00069328,             0.00069328,             0.00069328
                      3,                 1.3155,                 2.5127,                 1.5605,                0.19991,                0.14608,                0.06908,                0.02867,                 2.0066,                 4.2471,                 2.4319,              0.0010365,              0.0010365,              0.0010365
                      4,                 1.3255,                 2.4017,                 1.6086,                 0.1592,                0.15759,                0.06956,                0.02567,                  1.962,                 5.7089,                  3.054,              0.0013727,              0.0013727,              0.0013727
                      5,                 1.3748,                 2.3698,                 1.6133,                0.09076,                0.23839,                0.04135,                0.01583,                 1.9179,                 7.4016,                 2.5067,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.2993,                 2.2339,                 1.5556,                0.15171,                0.21941,                0.11687,                0.05366,                 1.7984,                 3.5446,                  2.402,              0.0013724,              0.0013724,              0.0013724
                      7,                 1.3531,                 2.2014,                 1.6135,                0.18659,                0.22946,                0.15485,                0.07019,                 1.7821,                 3.8365,                 2.2694,              0.0013583,              0.0013583,              0.0013583
                      8,                 1.3445,                 2.1631,                 1.5829,                0.16519,                0.24403,                0.14025,                0.06147,                 1.8068,                 3.3228,                 2.2369,              0.0013441,              0.0013441,              0.0013441
                      9,                 1.2659,                 2.0563,                 1.5419,                0.22973,                0.28431,                0.17127,                0.07651,                 1.8327,                 2.9167,                 2.3403,                0.00133,                0.00133,                0.00133
                     10,                 1.2335,                  1.942,                 1.5242,                0.33826,                0.25198,                0.23865,                0.12299,                 1.6826,                 3.0819,                 2.2548,              0.0013158,              0.0013158,              0.0013158
                     11,                 1.3027,                  1.961,                 1.5485,                0.23862,                0.23132,                0.18189,                0.07981,                 1.9741,                 2.7456,                 2.4217,              0.0013017,              0.0013017,              0.0013017
                     12,                 1.2487,                 1.9321,                 1.5367,                0.20508,                0.24798,                0.17527,                0.07116,                 1.8652,                 2.7452,                 2.3327,              0.0012875,              0.0012875,              0.0012875
                     13,                 1.2234,                 1.8976,                 1.5106,                0.19898,                0.34047,                0.17052,                0.07928,                 1.7962,                 2.7938,                 2.3282,              0.0012734,              0.0012734,              0.0012734
                     14,                 1.2087,                 1.8519,                 1.4984,                0.20726,                0.25462,                0.16967,                  0.068,                 1.8155,                 3.0771,                 2.3176,              0.0012592,              0.0012592,              0.0012592
